X,Y,COUNTY,CountyName,Permits 
-8614469.927,4202979.295,Craven,,
-8618635.168,4206948.561,Craven,,
-8597601.239,4206621.145,Craven,,
-8597601.239,4206621.145,Craven,,
-8597601.239,4206621.145,Craven,,
-8583156.088,4213744.641,Craven,,
-8608459.12,4195167.692,Craven,,
-8611982.27,4202733.821,Craven,,
-8604187.234,4215123.474,Craven,,
-8603202.057,4196707.763,Craven,,
-8616896.358,4203088.397,Craven,,
-8615367.162,4209158.875,Craven,,
-8596991.542,4200565.697,Craven,,
-8595386.093,4198575.217,Craven,,
-8595259.3,4199052.354,Craven,,
-8602660.265,4212843.715,Craven,,
-8578001.662,4193314.439,Craven,,
-8587602.857,4212598.021,Craven,,
-8583857.958,4209554.595,Craven,,
-8608608.956,4200933.839,Craven,,
-8572068.333,4199883.985,Craven,,
-8621564.318,4194976.901,Craven,,
-8774874.189,4152270.677,Cumberland,,
-8745938.246,4146604.78,Cumberland,,
-8771457.014,4150273.774,Cumberland,,
-8754828.332,4179627.969,Cumberland,,
-8755867.944,4153239.598,Cumberland,,
-8755867.944,4153239.598,Cumberland,,
-8752169.688,4158374.914,Cumberland,,
-8743876.386,4147964.024,Cumberland,,
-8762394.94,4155779.8,Cumberland,,
-8753358.914,4154734.619,Cumberland,,
-8742327.821,4146946.306,Cumberland,,
-8750490.879,4149119.042,Cumberland,,
-8760609.264,4193871.609,Cumberland,,
-8744708.833,4145588.001,Cumberland,,
-8744188.637,4143779.897,Cumberland,,
-8759769.358,4186987.921,Cumberland,,
-8758296.268,4188965.284,Cumberland,,
-8755566.157,4181028.957,Cumberland,,
-8750924.134,4156410.46,Cumberland,,
-8744597.18,4148492.459,Cumberland,,
-8743459.272,4149848.54,Cumberland,,
-8743407.62,4149247.566,Cumberland,,
-8772387.089,4144961.209,Cumberland,,
-8762669.565,4160165.824,Cumberland,,
-8953426.645,4267414.588,Davidson,,
-8937752.86,4267414.588,Davidson,,
-8937752.86,4267414.588,Davidson,,
-8937752.86,4267414.588,Davidson,,
-8940435.66,4263875.937,Davidson,,
-8940435.66,4263875.937,Davidson,,
-8940435.66,4263875.937,Davidson,,
-8913262.572,4245419.468,Davidson,,
-8920464.943,4264259.921,Davidson,,
-8920464.943,4264259.921,Davidson,,
-8975846.39,4293166.096,Davie,,
-8979620.121,4286183.136,Davie,,
-8701844.595,4130405.933,Duplin,,
-8691080.001,4129051.127,Duplin,,
-8674014.723,4156178.508,Duplin,,
-8673516.679,4144583.252,Duplin,,
-8672594.286,4144550.422,Duplin,,
-8671075.888,4143515.381,Duplin,,
-8671053.624,4144478.522,Duplin,,
-8671020.228,4145102.573,Duplin,,
-8667061.707,4145018.189,Duplin,,
-8655172.786,4131285.29,Duplin,,
-8654033.987,4129307.173,Duplin,,
-8686504.77,4166789.699,Duplin,,
-8686504.77,4166789.699,Duplin,,
-8686504.77,4166789.699,Duplin,,
-8691792.445,4156857.538,Duplin,,
-8673204.651,4159535.088,Duplin,,
-8667984.546,4160480.187,Duplin,,
-8665476.518,4156898.281,Duplin,,
-8664452.267,4163881.008,Duplin,,
-8665198.219,4134362.905,Duplin,,
-8657595.098,4134593.32,Duplin,,
-8651539.317,4127506.849,Duplin,,
-8677231.856,4145129.707,Duplin,,
-8677207.366,4145197.541,Duplin,,
-8675806.966,4146567.874,Duplin,,
-8674159.549,4166021.44,Duplin,,
-8654440.749,4161128.232,Duplin,,
-8687005.707,4159655.581,Duplin,,
-8674938.674,4150218.396,Duplin,,
-8672980.231,4152752.208,Duplin,,
-8669094.401,4147327.736,Duplin,,
-8667958.942,4144383.561,Duplin,,
-8656462.088,4167159.711,Duplin,,
-8654066.27,4131801.555,Duplin,,
-8700108.011,4135677.689,Duplin,,
-8698939.157,4134471.335,Duplin,,
-8697358.42,4143366.169,Duplin,,
-8693377.858,4140398.901,Duplin,,
-8690717.656,4127623.34,Duplin,,
-8651388.814,4150521.619,Duplin,,
-8700698.005,4143284.782,Duplin,,
-8699774.053,4145848.767,Duplin,,
-8699774.053,4145848.767,Duplin,,
-8697547.663,4148603.334,Duplin,,
-8697547.663,4148603.334,Duplin,,
-8697547.663,4148603.334,Duplin,,
-8697547.663,4148603.334,Duplin,,
-8697547.663,4148603.334,Duplin,,
-8697547.663,4148603.334,Duplin,,
-8695098.634,4147924.806,Duplin,,
-8693871.893,4140976.343,Duplin,,
-8691580.938,4151806.542,Duplin,,
-8685981.568,4177098.094,Duplin,,
-8685269.123,4178730.908,Duplin,,
-8680849.739,4173819.585,Duplin,,
-8679547.301,4143813.81,Duplin,,
-8693306.39,4152335.975,Duplin,,
-8693306.39,4152335.975,Duplin,,
-8693306.39,4152335.975,Duplin,,
-8690645.855,4184965.026,Duplin,,
-8690645.855,4184965.026,Duplin,,
-8690645.855,4184965.026,Duplin,,
-8686938.916,4166898.445,Duplin,,
-8674482.265,4171616.318,Duplin,,
-8659543.189,4167047.972,Duplin,,
-8658864.14,4165838.219,Duplin,,
-8658864.14,4165838.219,Duplin,,
-8658864.14,4165838.219,Duplin,,
-8658396.598,4167659.695,Duplin,,
-8649381.167,4128812.834,Duplin,,
-8649212.74,4133793.665,Duplin,,
-8698226.712,4141928.414,Duplin,,
-8688363.805,4135271.038,Duplin,,
-8680415.593,4137412.897,Duplin,,
-8677265.252,4143284.782,Duplin,,
-8676430.356,4134620.428,Duplin,,
-8675806.966,4143176.267,Duplin,,
-8698382.559,4132031.917,Duplin,,
-8695354.669,4130405.933,Duplin,,
-8691736.786,4129132.411,Duplin,,
-8690801.702,4181112.526,Duplin,,
-8698534.622,4167937.836,Duplin,,
-8677249.444,4128358.208,Duplin,,
-8674170.57,4142538.759,Duplin,,
-8673858.875,4142009.792,Duplin,,
-8661524.676,4146269.371,Duplin,,
-8648756.33,4129322.075,Duplin,,
-8653406.145,4139858.915,Duplin,,
-8651383.47,4137562.03,Duplin,,
-8678679.009,4133983.409,Duplin,,
-8678679.009,4133983.409,Duplin,,
-8677354.307,4136626.598,Duplin,,
-8676396.96,4135609.913,Duplin,,
-8662815.982,4148033.368,Duplin,,
-8651194.227,4138728.04,Duplin,,
-8660255.634,4127506.849,Duplin,,
-8658062.64,4130554.972,Duplin,,
-8693896.384,4144234.338,Duplin,,
-8688553.048,4178730.908,Duplin,,
-8674621.97,4175637.745,Duplin,,
-8696434.468,4128455.065,Duplin,,
-8655090.409,4149661.919,Duplin,,
-8690712.646,4159995.197,Duplin,,
-8689466.202,4176324.088,Duplin,,
-8677632.606,4144193.641,Duplin,,
-8670118.54,4146757.835,Duplin,,
-8658915.57,4160655.577,Duplin,,
-8657661.889,4163989.861,Duplin,,
-8659732.432,4164139.35,Duplin,,
-8659660.52,4163552.417,Duplin,,
-8669962.693,4149960.513,Duplin,,
-8681996.33,4154263.865,Duplin,,
-8679213.343,4155771.109,Duplin,,
-8667193.176,4171706.208,Duplin,,
-8663439.371,4173017.11,Duplin,,
-8666005.285,4178087.278,Duplin,,
-8693651.481,4168896.838,Duplin,,
-8657962.452,4148644.047,Duplin,,
-8655457.764,4150747.753,Duplin,,
-8680126.274,4176780.267,Duplin,,
-8671387.583,4181139.747,Duplin,,
-8662259.384,4152526.034,Duplin,,
-8685547.422,4147056.351,Duplin,,
-8665087.011,4155556.416,Duplin,,
-8662604.475,4155730.37,Duplin,,
-8701777.804,4134105.388,Duplin,,
-8700709.025,4139762.23,Duplin,,
-8697759.17,4166368.319,Duplin,,
-8697235.968,4165539.199,Duplin,,
-8696122.774,4133685.242,Duplin,,
-8695165.426,4141711.411,Duplin,,
-8676210.054,4144931.091,Duplin,,
-8662702.102,4159201.327,Duplin,,
-8662136.933,4149919.795,Duplin,,
-8661031.53,4149323.975,Duplin,,
-8653943.818,4151765.818,Duplin,,
-8653910.423,4150978.506,Duplin,,
-8649613.49,4144085.116,Duplin,,
-8649375.934,4153428.586,Duplin,,
-8647854.642,4149091.899,Duplin,,
-8647854.642,4153924.423,Duplin,,
-8702189.686,4137155.31,Duplin,,
-8699746.668,4147816.652,Duplin,,
-8698600.968,4159315.975,Duplin,,
-8698260.108,4176839.587,Duplin,,
